	Common Settings,	
	.源输出/扫描点数,	500
	.重复次数,	0
	.测量延迟,	0.005
	.测量窗口,	20 ms
	.NPLC,	1
	.渠道,	SMU-1
	..仪器,	My 2470
	...型号,	2470
	...序列号,	04648429
	..Source Settings,	
	...模式,	直流
	...源功能,	电压扫描
	...源类型,	线性
	...双向扫描,	禁用
	...量程,	自动
	...开始,	0
	...停止,	1000
	...步进,	2.00400801603206
	...限值,	0.01
	..Measure Settings,	
	...电压,	测量值
	...电流,	True
	...量程,	自动
	...最小量程,	1E-08
	...电阻,	False
	...功率,	False
	...自动归零,	打开
	..Instrument Settings,	
	...接线端子,	正面
	...接线方式,	2 线
	...输出关闭,	标准
	...高电容,	False

"索引","SMU-1 时间 (s)","SMU-1 电压 (V)","SMU-1 电流 (A)"
"1","0","1.01454643299803E-05","-2.42589393018022E-09"
"2","0.39850904","1.87644517421722","7.74498616351593E-08"
"3","1.13834004","4.00778532028198","1.70007325550614E-07"
"4","1.23695688","6.01209402084351","2.58123606045046E-07"
"5","1.3355411","8.01592063903809","3.52091944932909E-07"
"6","1.43413442","10.0198354721069","4.47147442628193E-07"
"7","1.53270786","12.0237073898315","5.42700433925347E-07"
"8","1.6312882","14.0275373458862","6.37543621451186E-07"
"9","1.72988008","16.0314540863037","7.30300484974578E-07"
"10","1.8284485","18.0355930328369","8.20051241134934E-07"
"11","1.92705056","20.0394744873047","9.05541128304321E-07"
"12","2.36156688","22.0453624725342","9.44518660617177E-07"
"13","2.44924542","24.051794052124","1.02588023764838E-06"
"14","2.53691496","26.0512580871582","1.10988241885934E-06"
"15","2.6245799","28.0550098419189","1.1894189810846E-06"
"16","2.71225984","30.0615749359131","1.26645124964853E-06"
"17","2.79992936","32.0642318725586","1.34504909965472E-06"
"18","2.8876012","34.0711250305176","1.41659870678268E-06"
"19","2.9752756","36.0712127685547","1.48477636230382E-06"
"20","3.06294156","38.0739974975586","1.55382986122277E-06"
"21","3.1506186","40.0812797546387","1.60994363795908E-06"
"22","3.2382846","42.0840759277344","1.67184055044345E-06"
"23","3.3259474","44.0908889770508","1.72627653682866E-06"
"24","3.41360254","46.0908203125","1.77654260369309E-06"
"25","3.50125612","48.0940704345703","1.83131817266258E-06"
"26","3.58892066","50.100700378418","1.87943078344688E-06"
"27","3.67657588","52.1037292480469","1.92431048162689E-06"
"28","3.7642506","54.1103782653809","1.96746236724721E-06"
"29","3.85192136","56.1103706359863","2.00362455871073E-06"
"30","3.93960762","58.116813659668","2.03864874492865E-06"
"31","4.02727176","60.1198997497559","2.07738366952981E-06"
"32","4.11493956","62.1268501281738","2.11148631024116E-06"
"33","4.20260422","64.1300735473633","2.13688008443569E-06"
"34","4.29028372","66.1296005249023","2.16292801269446E-06"
"35","4.37793634","68.1367111206055","2.18791888073611E-06"
"36","4.46561188","70.1392822265625","2.20337187784025E-06"
"37","4.55327486","72.1457901000977","2.21794834942557E-06"
"38","4.64093564","74.1494064331055","2.23559391088202E-06"
"39","4.72859214","76.1488952636719","2.25233384298917E-06"
"40","4.81624798","78.1558609008789","2.26851307161269E-06"
"41","4.90390726","80.1590118408203","2.28627482101729E-06"
"42","4.99156382","82.1653366088867","2.30688056035433E-06"
"43","5.07924364","84.1689224243164","2.32220054385834E-06"
"44","5.16690506","86.1684875488281","2.33070340982522E-06"
"45","5.25457162","88.1755523681641","2.33094829127367E-06"
"46","5.34225688","90.1784210205078","2.3386830889649E-06"
"47","5.42992402","92.184928894043","2.34759886552638E-06"
"48","5.5175836","94.1914138793945","2.35467859965866E-06"
"49","5.6052579","96.1917266845703","2.35993979913474E-06"
"50","5.69293254","98.1944808959961","2.3637326194148E-06"
"51","5.7805925","100.201141357422","2.37721883422637E-06"
"52","5.86824392","102.204780578613","2.38296797760995E-06"
"53","5.95591116","104.210472106934","2.39136238633364E-06"
"54","6.04356838","106.210800170898","2.41009684032178E-06"
"55","6.13122958","108.214279174805","2.41050452132185E-06"
"56","6.2188883","110.220291137695","2.41576867665572E-06"
"57","6.30656736","112.22428894043","2.42805913330812E-06"
"58","6.39424998","114.230697631836","2.41894122154918E-06"
"59","6.4819297","116.23063659668","2.4203520752053E-06"
"60","6.56959962","118.233512878418","2.41989391724928E-06"
"61","6.65726966","120.239921569824","2.41807629208779E-06"
"62","6.74494342","122.243148803711","2.43535600930045E-06"
"63","6.83262174","124.249801635742","2.45262981479755E-06"
"64","6.92029066","126.252510070801","2.44094030676933E-06"
"65","7.00796268","128.256713867188","2.44907278101891E-06"
"66","7.09563454","130.259384155273","2.44628040491079E-06"
"67","7.18329726","132.265319824219","2.44783200287202E-06"
"68","7.27095656","134.26921081543","2.45831984102551E-06"
"69","7.3586245","136.275497436523","2.46637591772014E-06"
"70","7.44629632","138.27522277832","2.47192451752198E-06"
"71","7.5339671","140.278732299805","2.48206470132573E-06"
"72","7.62163292","142.285125732422","2.47603202296887E-06"
"73","7.70930098","144.288146972656","2.48630431087804E-06"
"74","7.79698638","146.294906616211","2.50640982812911E-06"
"75","7.88466886","148.295593261719","2.54630731433281E-06"
"76","7.97232904","150.297470092773","2.53347025136463E-06"
"77","8.06001114","152.304229736328","2.51771552939317E-06"
"78","8.14768284","154.307586669922","2.52367885877902E-06"
"79","8.23535538","156.314208984375","2.53099960900727E-06"
"80","8.32303126","158.314315795898","2.53720190812601E-06"
"81","8.41068276","160.31640625","2.54755650530569E-06"
"82","8.49834864","162.323364257813","2.55673239735188E-06"
