	Common Settings,	
	.源输出/扫描点数,	500
	.重复次数,	0
	.测量延迟,	0.005
	.测量窗口,	20 ms
	.NPLC,	1
	.渠道,	SMU-1
	..仪器,	My 2470
	...型号,	2470
	...序列号,	04648429
	..Source Settings,	
	...模式,	直流
	...源功能,	电压扫描
	...源类型,	线性
	...双向扫描,	禁用
	...量程,	自动
	...开始,	0
	...停止,	1000
	...步进,	2.00400801603206
	...限值,	0.01
	..Measure Settings,	
	...电压,	测量值
	...电流,	True
	...量程,	自动
	...最小量程,	1E-08
	...电阻,	False
	...功率,	False
	...自动归零,	打开
	..Instrument Settings,	
	...接线端子,	正面
	...接线方式,	2 线
	...输出关闭,	标准
	...高电容,	False

"索引","SMU-1 时间 (s)","SMU-1 电压 (V)","SMU-1 电流 (A)"
"1","0","1.79671769728884E-05","5.84876036491266E-10"
"2","0.91665874","2.00397109985352","-5.84944537251886E-10"
"3","1.83326144","4.00792074203491","-2.19813250934564E-10"
"4","2.74734602","6.01227903366089","2.07479949887457E-10"
"5","3.66144072","8.01611328125","7.88510142596399E-12"
"6","4.57555734","10.0200576782227","8.75617564566333E-11"
"7","5.48965034","12.023983001709","2.96111246633757E-10"
"8","6.40375964","14.0278482437134","7.20749328275705E-12"
"9","7.3178884","16.0318222045898","4.6197550992999E-12"
"10","8.23197122","18.0359725952148","1.94575841550026E-10"
"11","9.14608102","20.0398941040039","3.49715881253765E-11"
"12","10.0627065","22.046480178833","3.56025556258466E-11"
"13","11.10943834","24.0529975891113","1.2546667871316E-10"
"14","11.50540204","26.0510864257813","1.32703696920089E-08"
"15","12.41950734","28.0563488006592","1.26880311812627E-10"
"16","13.3336082","30.062952041626","3.09721970292998E-10"
"17","14.2477243","32.0656471252441","4.70400142449368E-11"
"18","15.16181468","34.0727844238281","5.65731801682734E-11"
"19","15.55779916","36.071403503418","1.26063772754037E-08"
"20","16.47192688","38.0756568908691","3.64742097636039E-10"
"21","17.385979","40.0826110839844","3.56246455945897E-12"
"22","18.3000898","42.0857543945313","2.53183057852269E-10"
"23","19.21417768","44.092357635498","2.26458532481821E-10"
"24","19.61015","46.0910949707031","1.36070443801373E-08"
"25","20.5242513","48.0955047607422","3.37391226068462E-11"
"26","21.571015","50.1020812988281","8.18547174485929E-11"
"27","22.61772586","52.1053237915039","1.55777571397842E-10"
"28","23.53189812","54.1117782592773","-4.23521634429491E-11"
"29","23.92787562","56.110954284668","1.5768332417565E-08"
