	Common Settings,	
	.源输出/扫描点数,	500
	.重复次数,	0
	.测量延迟,	0.005
	.测量窗口,	20 ms
	.NPLC,	1
	.渠道,	SMU-1
	..仪器,	My 2470
	...型号,	2470
	...序列号,	04648429
	..Source Settings,	
	...模式,	直流
	...源功能,	电压扫描
	...源类型,	线性
	...双向扫描,	禁用
	...量程,	自动
	...开始,	0
	...停止,	1000
	...步进,	2.00400801603206
	...限值,	0.01
	..Measure Settings,	
	...电压,	测量值
	...电流,	True
	...量程,	自动
	...最小量程,	1E-08
	...电阻,	False
	...功率,	False
	...自动归零,	打开
	..Instrument Settings,	
	...接线端子,	正面
	...接线方式,	2 线
	...输出关闭,	标准
	...高电容,	False

"索引","SMU-1 时间 (s)","SMU-1 电压 (V)","SMU-1 电流 (A)"
"1","0","1.7276091966778E-05","9.06100638964347E-10"
"2","0.9165633","2.00397682189941","6.74599091865513E-12"
"3","1.833113","4.00792169570923","1.61997817937909E-10"
"4","2.7471347","6.01226377487183","3.68396452232744E-10"
"5","3.66117282","8.0161075592041","1.93120464064833E-10"
"6","4.57522286","10.020092010498","3.66071256641121E-10"
"7","5.48926644","12.0239782333374","2.46439084417016E-11"
"8","6.40330532","14.0278549194336","2.66148769689778E-10"
"9","7.31732886","16.0318412780762","3.52746720722052E-10"
"10","8.23137394","18.0360012054443","1.2019084338899E-10"
"11","9.14543664","20.0399284362793","4.56944426741046E-10"
"12","10.1946473","22.0462875366211","1.86123871870336E-09"
"13","11.10871234","24.0532112121582","1.16925871762597E-10"
"14","11.50467308","26.051197052002","1.46392800104422E-08"
"15","12.41873444","28.0563945770264","4.82355655417877E-10"
"16","13.33280592","30.0628433227539","1.63440538880621E-10"
"17","14.3794585","32.065616607666","7.73797761977058E-11"
"18","15.29350624","34.0696601867676","5.91086790624473E-10"
"19","15.68944264","36.0885124206543","9.16114686333458E-08"
"20","16.08540222","38.0787506103516","3.87115264288695E-08"
"21","17.13202334","40.0827102661133","4.61489468861487E-09"
"22","18.1786832","42.0856323242188","1.9346511892504E-10"
"23","19.09273186","44.0923042297363","5.56850288102595E-10"
"24","19.48869568","46.0910758972168","1.35987363591994E-08"
"25","20.40273366","48.0954627990723","8.56926585246498E-10"
"26","21.3168117","50.1019859313965","5.52311585355625E-10"
"27","22.23086544","52.1053886413574","7.7222700456403E-10"
"28","23.14496544","54.1118698120117","9.98445104372081E-10"
"29","23.54092868","56.1109046936035","1.47286192131446E-08"
"30","24.45498872","58.1187057495117","1.83005588461072E-09"
"31","25.50164786","60.1214637756348","-1.50717782698706E-09"
"32","26.41569526","62.128776550293","1.34541555674161E-09"
"33","27.3297792","64.1317901611328","1.98815164331734E-09"
"34","27.72574464","66.1296234130859","1.41113423168804E-08"
"35","28.63979946","68.1384963989258","4.72232197790134E-10"
"36","29.55387384","70.1410903930664","-1.98872962542396E-09"
"37","30.4679428","72.1475372314453","3.14828074721163E-09"
"38","31.38200076","74.1508865356445","1.99265492994982E-09"
"39","31.7779774","76.1493301391602","1.4514809798527E-08"
"40","32.69199068","78.1571884155273","1.59003354927023E-09"
"41","33.60604046","80.1605377197266","-1.14872955592205E-09"
"42","34.52007536","82.1668701171875","1.38643851954612E-09"
"43","35.56672838","84.1704025268555","1.48689838219696E-09"
"44","35.96267982","86.1689071655273","1.62446234241997E-08"
"45","36.87673912","88.1767578125","1.87814608310077E-09"
"46","37.92336474","90.1799392700195","5.90764603902727E-10"
"47","38.83741118","92.1863784790039","1.88827531388824E-09"
"48","39.75149146","94.1929626464844","1.92322935355094E-09"
"49","40.14745082","96.1918258666992","1.53006443071035E-08"
"50","41.0614734","98.1960754394531","1.97441174520918E-09"
"51","42.10812498","100.202247619629","1.72641656526196E-09"
"52","43.02218886","102.206085205078","1.74808745256883E-09"
"53","43.93625004","104.212066650391","2.12802708787763E-09"
"54","44.33219568","106.21085357666","1.5446829593202E-08"
"55","45.2462748","108.215675354004","2.18256768214076E-09"
"56","46.1603517","110.221984863281","1.87781235005957E-09"
"57","47.07440638","112.225524902344","2.10963824187616E-09"
"58","47.98849208","114.231872558594","2.37573538619529E-09"
"59","48.38447116","116.230529785156","1.58025752483582E-08"
"60","49.29854142","118.234809875488","2.27102270322632E-09"
"61","50.21258348","120.241287231445","2.44690023798455E-09"
"62","51.12667416","122.244285583496","2.60698151954841E-09"
"63","52.0407064","124.25129699707","2.72619748997727E-09"
"64","52.95475012","126.253768920898","2.63913269016314E-09"
"65","53.86875488","128.257705688477","2.64575583663884E-09"
"66","54.91538142","130.260726928711","2.72631472952867E-09"
"67","55.82940452","132.266510009766","2.90292123672486E-09"
"68","56.74343572","134.270629882813","3.05413694334788E-09"
"69","57.65746958","136.276901245117","3.01732461238657E-09"
"70","58.05343284","138.275466918945","1.59247957043362E-08"
"71","58.96747794","140.280166625977","3.0006175322228E-09"
"72","60.01413284","142.286666870117","3.13309267419015E-09"
"73","60.92813578","144.289520263672","3.17150639084218E-09"
"74","61.84219116","146.296157836914","3.35961458652889E-09"
"75","62.23813696","148.295547485352","1.65911071547953E-08"
"76","63.15216044","150.298492431641","3.32596239438487E-09"
"77","64.06622474","152.305847167969","3.49314044356674E-09"
"78","64.98029352","154.308898925781","3.37440941855505E-09"
"79","65.89433576","156.315567016602","3.42445294343463E-09"
"80","66.29029084","158.314575195313","1.92648617058921E-08"
"81","67.2043464","160.318054199219","3.71114317054833E-09"
"82","68.1184059","162.325057983398","3.697891770571E-09"
"83","69.03246092","164.331069946289","3.62611762838583E-09"
"84","69.94651662","166.334182739258","3.79947584505658E-09"
"85","70.34249252","168.334777832031","1.7124548890024E-08"
"86","71.25657754","170.341552734375","4.02237088081847E-09"
"87","72.1706591","172.344131469727","3.84711906775692E-09"
"88","73.21729998","174.350921630859","4.05557232241449E-09"
"89","74.26394794","176.354064941406","4.20229495645685E-09"
"90","74.65991906","178.35285949707","1.731626575463E-08"
"91","75.57396748","180.360641479492","4.38995950702292E-09"
"92","76.48798366","182.364318847656","4.59104709804592E-09"
"93","77.40203546","184.369506835938","4.43900338709113E-09"
"94","78.3160851","186.373718261719","4.6416448462594E-09"
"95","78.7120495","188.372528076172","1.76634955550981E-08"
"96","79.62607504","190.379364013672","4.69186289819845E-09"
"97","80.67268862","192.382446289063","4.85531304050824E-09"
"98","81.58674976","194.388641357422","4.86673368271795E-09"
"99","82.63341484","196.396240234375","5.0750235125463E-09"
"100","83.02938724","198.394439697266","1.79345356343674E-08"
"101","84.07601522","200.399002075195","5.21619636373316E-09"
"102","84.99009164","202.406524658203","5.22689758142292E-09"
"103","85.90412636","204.408355712891","5.3150781553768E-09"
"104","86.4358353","206.223968505859","5.52563017564012E-09"
"105","87.2142169","208.415054321289","5.37512034881615E-09"
"106","87.61349134","210.444366455078","7.4714193942782E-08"
"107","88.00946248","212.491104125977","7.47183719340683E-08"
"108","88.4054183","214.543487548828","7.15725221311914E-08"
"109","88.80139014","216.497360229492","7.07598104554563E-08"
"110","89.19734896","218.484191894531","7.41041574769952E-08"
"111","89.59330786","220.51008605957","7.56542561930473E-08"
"112","89.98926176","222.547210693359","7.3289157853651E-08"
"113","90.38521304","224.525436401367","7.00105928785888E-08"
"114","90.78118338","226.493896484375","7.29889180206555E-08"
"115","91.17714174","228.486679077148","7.48619157775465E-08"
"116","91.57309592","230.536697387695","7.59866765065453E-08"
"117","91.96906072","232.539443969727","7.13468821800234E-08"
"118","92.36501146","234.523071289063","7.11494649863198E-08"
"119","92.76097174","236.473754882813","7.36709395710022E-08"
"120","93.15694692","238.552047729492","7.83130431614154E-08"
"121","93.55290854","240.594772338867","7.52565227912783E-08"
"122","93.94886952","242.58137512207","7.06604197375782E-08"
"123","94.3448427","244.553924560547","7.23742701325136E-08"
"124","94.74081298","246.527053833008","7.47793080790871E-08"
"125","95.1367733","248.556228637695","7.68479040402781E-08"
"126","95.53271062","250.591415405273","7.40917514008288E-08"
"127","95.9286679","252.565475463867","7.07568972302397E-08"
