	Common Settings,	
	.源输出/扫描点数,	500
	.重复次数,	0
	.测量延迟,	0.005
	.测量窗口,	20 ms
	.NPLC,	1
	.渠道,	SMU-1
	..仪器,	My 2470
	...型号,	2470
	...序列号,	04648429
	..Source Settings,	
	...模式,	直流
	...源功能,	电压扫描
	...源类型,	线性
	...双向扫描,	禁用
	...量程,	自动
	...开始,	0
	...停止,	1000
	...步进,	2.00400801603206
	...限值,	0.01
	..Measure Settings,	
	...电压,	测量值
	...电流,	True
	...量程,	自动
	...最小量程,	1E-08
	...电阻,	False
	...功率,	False
	...自动归零,	打开
	..Instrument Settings,	
	...接线端子,	正面
	...接线方式,	2 线
	...输出关闭,	标准
	...高电容,	False

"索引","SMU-1 时间 (s)","SMU-1 电压 (V)","SMU-1 电流 (A)"
"1","0","1.32486020447686E-05","1.69184055653915E-09"
"2","0.73983228","2.00396656990051","2.39826611903027E-08"
"3","1.0530984","3.94553780555725","4.78028745476422E-08"
"4","1.44908602","5.81407260894775","7.01475215691971E-08"
"5","2.186447","8.01604461669922","9.84967414296989E-08"
"6","2.28506416","10.0199594497681","1.16503755975828E-07"
"7","2.38366986","12.0238609313965","1.40514202939812E-07"
"8","2.48227808","14.0277347564697","1.66368380405402E-07"
"9","2.5808814","16.0317058563232","1.92708256463447E-07"
"10","2.6794826","18.0358505249023","2.19790393884978E-07"
"11","2.77807924","20.0397701263428","2.4704905854378E-07"
"12","2.87917004","22.1210384368896","2.79709468031797E-07"
"13","2.9778122","24.0510845184326","3.03972342408088E-07"
"14","3.07640156","26.0504302978516","3.32348861320497E-07"
"15","3.1749917","28.0541095733643","3.60307438995733E-07"
"16","3.2736021","30.0605850219727","3.88348325941479E-07"
"17","3.3721735","32.0632438659668","4.17205569647194E-07"
"18","3.47078042","34.0700225830078","4.45811053850775E-07"
"19","3.56936758","36.0698928833008","4.756987550536E-07"
"20","3.66795868","38.0726661682129","5.0497840220487E-07"
"21","3.766549","40.0799446105957","5.34574212451844E-07"
"22","3.8651304","42.0827331542969","5.64419224247104E-07"
"23","3.9637435","44.0893707275391","5.94377070228802E-07"
"24","4.06232962","46.0893898010254","6.24480435362784E-07"
"25","4.16093954","48.0925064086914","6.54986706649652E-07"
"26","4.2595126","50.0990219116211","6.85422492097132E-07"
"27","4.35808972","52.1018447875977","7.15838893938781E-07"
"28","4.4566664","54.1086921691895","7.4692138696264E-07"
"29","4.55525322","56.1086540222168","7.78034689119522E-07"
"30","4.6538462","58.1153335571289","8.09826019576576E-07"
"31","4.75241356","60.1180458068848","8.41467681311769E-07"
"32","4.85099962","62.1248397827148","8.72849341249093E-07"
"33","4.9495785","64.1277389526367","9.04566945791885E-07"
"34","5.04818344","66.1270370483398","9.49672255501355E-07"
"35","5.14678376","68.1184005737305","9.96554831544927E-07"
"36","5.57873166","70.1396560668945","1.01424120657612E-06"
"37","5.66640644","72.1462326049805","1.03674062756909E-06"
"38","5.75406722","74.1499404907227","1.06601055449573E-06"
"39","5.84171858","76.1493301391602","1.09716972929164E-06"
"40","5.9293822","78.1562194824219","1.12926477413566E-06"
"41","6.01703818","80.1594390869141","1.16152693863114E-06"
