	Common Settings,	
	.源输出/扫描点数,	500
	.重复次数,	0
	.测量延迟,	0.005
	.测量窗口,	20 ms
	.NPLC,	1
	.渠道,	SMU-1
	..仪器,	My 2470
	...型号,	2470
	...序列号,	04648429
	..Source Settings,	
	...模式,	直流
	...源功能,	电压扫描
	...源类型,	线性
	...双向扫描,	禁用
	...量程,	自动
	...开始,	0
	...停止,	1000
	...步进,	2.00400801603206
	...限值,	0.01
	..Measure Settings,	
	...电压,	测量值
	...电流,	True
	...量程,	自动
	...最小量程,	1E-08
	...电阻,	False
	...功率,	False
	...自动归零,	打开
	..Instrument Settings,	
	...接线端子,	正面
	...接线方式,	2 线
	...输出关闭,	标准
	...高电容,	False

"索引","SMU-1 时间 (s)","SMU-1 电压 (V)","SMU-1 电流 (A)"
"1","0","1.38217437779531E-05","-1.66858367123268E-08"
"2","0.3984917","2.00395274162292","3.11578745026964E-08"
"3","0.79696138","3.90701222419739","7.93731089743233E-08"
"4","1.53431038","6.01211833953857","1.27546570638515E-07"
"5","1.63293542","8.01597213745117","1.75806363245101E-07"
"6","1.73153022","10.0198860168457","2.31682193430061E-07"
"7","1.8301361","12.023775100708","2.87462626147317E-07"
"8","1.92874086","14.0276432037354","3.43098207622461E-07"
"9","2.02732362","16.0316009521484","3.97323617562506E-07"
"10","2.1259158","18.0357494354248","4.45494038103789E-07"
"11","2.22451044","20.039623260498","4.98080623856367E-07"
"12","2.32563802","22.1213188171387","5.49287108242424E-07"
"13","2.42421952","24.0500030517578","5.85068846703507E-07"
"14","2.52282814","26.0494136810303","6.27866427294066E-07"
"15","2.62142788","28.0528221130371","6.63578646253882E-07"
"16","2.7200296","30.0595302581787","7.04565877640562E-07"
"17","2.81862472","32.0621604919434","7.36728679839871E-07"
"18","2.91721548","34.0690460205078","7.68304289522348E-07"
"19","3.0158181","36.0689544677734","8.04328976755642E-07"
"20","3.11441924","38.0718650817871","8.35318530789664E-07"
"21","3.21303182","40.0790405273438","8.56403403304284E-07"
"22","3.31165032","42.0816802978516","8.76325771059783E-07"
"23","3.41023468","44.0882797241211","8.93225944764708E-07"
"24","3.50885126","46.0886611938477","9.14127952000854E-07"
"25","3.60746968","48.0914001464844","9.31970987494424E-07"
"26","3.70607524","50.0981979370117","9.4902929959062E-07"
"27","3.80467824","52.1011199951172","9.70555220192182E-07"
"28","3.9032859","54.1077880859375","9.98699647425383E-07"
"29","4.00191366","56.0898208618164","1.02244166555465E-06"
"30","4.10052008","58.0991363525391","1.03323645816999E-06"
"31","4.1991249","60.0484733581543","1.04998741790041E-06"
"32","4.29772144","61.9583015441895","1.04998900951614E-06"
"33","4.82132998","64.1304016113281","9.2308835064614E-07"
"34","5.08415434","66.1270446777344","9.14833378828916E-07"
"35","5.18277384","68.1338653564453","9.22181357054797E-07"
"36","5.28138316","70.1366729736328","9.44060900565091E-07"
"37","5.3800015","72.1429824829102","9.80084905677359E-07"
"38","5.47864154","74.1369705200195","1.03021181985241E-06"
"39","5.5772521","76.093994140625","1.04998139249801E-06"
"40","6.10083724","78.1560363769531","9.60234842750651E-07"
"41","6.36367798","80.1562042236328","9.55409404923557E-07"
"42","6.46228862","82.16259765625","9.90184048532683E-07"
"43","6.5609132","84.1436309814453","1.03593208677921E-06"
"44","6.6595237","86.0879898071289","1.04998139249801E-06"
"45","7.09151776","88.1755752563477","1.00078398190817E-06"
"46","7.17920108","90.1789321899414","1.0165292678721E-06"
"47","7.26687934","92.1855087280273","1.04180980997626E-06"
"48","7.35455996","94.1916275024414","1.07007940641779E-06"
"49","7.44223912","96.1918563842773","1.09623329080932E-06"
"50","7.5299078","98.1946411132813","1.11874226149666E-06"
"51","7.61757446","100.201309204102","1.14749025215133E-06"
"52","7.70523582","102.204902648926","1.17775800845266E-06"
"53","7.79289378","104.210876464844","1.21311882139707E-06"
"54","7.88057014","106.210990905762","1.226864696946E-06"
"55","7.9682412","108.214508056641","1.24848463656235E-06"
"56","8.05590828","110.220520019531","1.28773342567001E-06"
"57","8.14359742","112.224319458008","1.30664693642757E-06"
"58","8.23127126","114.230865478516","1.32292905163922E-06"
"59","8.31896972","116.230491638184","1.34622212044633E-06"
"60","8.40664328","118.233489990234","1.37119900500693E-06"
"61","8.49432874","120.239944458008","1.40591055242112E-06"
"62","8.58201532","122.243034362793","1.42477188092016E-06"
"63","8.66969144","124.249893188477","1.43781403494359E-06"
"64","8.75736602","126.252555847168","1.45387912198203E-06"
"65","8.84504576","128.256546020508","1.47886794366059E-06"
"66","8.93270916","130.259262084961","1.50053097058844E-06"
"67","9.02037892","132.265594482422","1.52597419855738E-06"
"68","9.10806158","134.269332885742","1.5532184534095E-06"
"69","9.1957301","136.275619506836","1.58020293383743E-06"
"70","9.2834053","138.275131225586","1.60521676662029E-06"
"71","9.37107474","140.278686523438","1.62803110015375E-06"
"72","9.45875964","142.285385131836","1.66345898833242E-06"
"73","9.54641536","144.288208007813","1.68706549175113E-06"
"74","9.63409632","146.294860839844","1.71111912550259E-06"
"75","9.7217639","148.295333862305","1.7284451132582E-06"
"76","9.80943532","150.297485351563","1.75251955170097E-06"
"77","9.89712186","152.304306030273","1.77547758539731E-06"
"78","9.98480012","154.307861328125","1.81653865638509E-06"
"79","10.07247966","156.314224243164","1.84506632194825E-06"
"80","10.1601676","158.314758300781","1.85786154816014E-06"
"81","10.24784948","160.316818237305","1.87892624126107E-06"
"82","10.3355114","162.323715209961","1.90143794043252E-06"
"83","10.42318422","164.329879760742","1.92250695363327E-06"
"84","10.51085592","166.3330078125","1.95121037904755E-06"
"85","10.59850906","168.334625244141","1.98022735276027E-06"
"86","10.68618496","170.340057373047","2.00488466362003E-06"
"87","10.77385598","172.342346191406","2.0285531263653E-06"
"88","10.86151088","174.349258422852","2.0549489363475E-06"
"89","10.94919274","176.35285949707","2.07344555747113E-06"
"90","11.03686354","178.352767944336","2.10190887628414E-06"
"91","11.1245609","180.359222412109","2.12448435377155E-06"
"92","11.21223948","182.362945556641","2.15592444874346E-06"
"93","11.29989554","184.368148803711","2.17721253648051E-06"
"94","11.38757058","186.371978759766","2.20288688979053E-06"
"95","11.4752576","188.372222900391","2.23596657633607E-06"
"96","11.56294666","190.378280639648","2.26490305976768E-06"
"97","11.65061996","192.38102722168","2.29398438023054E-06"
"98","11.73829368","194.387023925781","2.32093657359655E-06"
"99","11.82595254","196.394973754883","2.34759841077903E-06"
"100","11.91362856","198.393814086914","2.38073744185385E-06"
"101","12.00129104","200.397354125977","2.40582448896021E-06"
"102","12.08895846","202.40478515625","2.44118587033881E-06"
"103","12.176629","204.406677246094","2.45381056629412E-06"
"104","12.2642952","206.412948608398","2.491950908734E-06"
"105","12.3519685","208.413467407227","2.51701658271486E-06"
"106","12.4396509","210.390197753906","2.53854341281112E-06"
"107","12.52733378","212.401336669922","2.55682675742719E-06"
"108","12.6150055","214.446075439453","2.56974658441322E-06"
"109","12.70267902","216.441680908203","2.58781528827967E-06"
"110","12.79036004","218.449569702148","2.61211107499548E-06"
"111","12.8780256","220.443283081055","2.63671404354682E-06"
"112","12.96570446","222.452285766602","2.65490621131903E-06"
"113","13.0533839","224.44482421875","2.69286670118163E-06"
"114","13.1410649","226.456008911133","2.70874375019048E-06"
"115","13.22875116","228.444946289063","2.73806722361769E-06"
"116","13.31643642","230.456451416016","2.76280684374797E-06"
"117","13.40412164","232.4462890625","2.78096172223741E-06"
"118","13.4917809","234.458953857422","2.80692438536789E-06"
"119","13.5794586","236.448104858398","2.83456597571785E-06"
"120","13.66713744","238.495742797852","2.86248814518331E-06"
"121","13.75481472","240.507278442383","2.8928006940987E-06"
"122","13.8424949","242.496978759766","2.92711320071248E-06"
