	Common Settings,	
	.源输出/扫描点数,	500
	.重复次数,	0
	.测量延迟,	0.005
	.测量窗口,	20 ms
	.NPLC,	1
	.渠道,	SMU-1
	..仪器,	My 2470
	...型号,	2470
	...序列号,	04648429
	..Source Settings,	
	...模式,	直流
	...源功能,	电压扫描
	...源类型,	线性
	...双向扫描,	禁用
	...量程,	自动
	...开始,	0
	...停止,	1000
	...步进,	2.00400801603206
	...限值,	0.01
	..Measure Settings,	
	...电压,	测量值
	...电流,	True
	...量程,	自动
	...最小量程,	1E-08
	...电阻,	False
	...功率,	False
	...自动归零,	打开
	..Instrument Settings,	
	...接线端子,	正面
	...接线方式,	2 线
	...输出关闭,	标准
	...高电容,	False

"索引","SMU-1 时间 (s)","SMU-1 电压 (V)","SMU-1 电流 (A)"
"1","0","1.77351321326569E-05","-6.10941908174567E-10"
"2","0.91658474","2.00397372245789","-7.88912601912273E-10"
"3","1.83316574","4.00793409347534","-2.77215639332695E-10"
"4","2.74723332","6.01227378845215","-7.12752912246373E-10"
"5","3.66128204","8.01612758636475","-5.54605250613349E-10"
"6","4.57532354","10.0200872421265","-1.51108917045839E-10"
"7","5.4893524","12.0240068435669","-5.35316291294663E-10"
"8","6.40342828","14.0278854370117","-2.93694041308967E-10"
"9","7.3174539","16.031867980957","-1.15452203353072E-10"
"10","8.23148682","18.036018371582","-1.33689351256017E-10"
"11","9.14557264","20.0399227142334","-2.18869922186116E-10"
"12","10.06213996","22.0468330383301","-2.86164897334018E-10"
"13","11.10880426","24.0532875061035","-1.98098246140255E-10"
"14","11.50476848","26.0516548156738","1.34173872012866E-08"
"15","12.41886526","28.0564575195313","-1.03088759750847E-09"
"16","13.3329044","30.0628776550293","-5.47811962459122E-10"
"17","14.2469563","32.065860748291","-9.5860049065255E-11"
"18","15.16101252","34.0726928710938","-1.87696126002779E-11"
"19","15.55699502","36.0716323852539","1.5004475883984E-08"
"20","16.47105712","38.0755577087402","1.09997670694195E-10"
"21","17.38514976","40.0830345153809","1.80252514303536E-13"
"22","18.29917586","42.0858345031738","6.70987779227694E-11"
"23","19.34588392","44.092456817627","1.75572612004515E-10"
"24","19.74184816","46.0914268493652","1.3072164684047E-08"
"25","20.65589998","48.0956039428711","3.61777247048778E-10"
"26","21.56999102","50.1019096374512","2.44313569375265E-10"
"27","22.48405156","52.1053924560547","2.42420999940762E-10"
"28","23.39812826","54.1120986938477","9.50123646425993E-10"
"29","23.79407258","56.1108093261719","1.58994897248022E-08"
"30","24.7081293","58.1183586120605","-8.42907188491893E-10"
"31","25.62220472","60.1215515136719","2.37923070134372E-10"
"32","26.53625544","62.1288223266602","2.2094809315476E-10"
"33","27.45029582","64.1316070556641","6.46629277900601E-11"
"34","27.84625804","66.1297378540039","1.30288446698046E-08"
"35","28.7603328","68.1380310058594","4.58947824188982E-10"
"36","29.67441682","70.140739440918","2.35165859008291E-10"
"37","30.72108486","72.1476211547852","1.72879585647046E-10"
"38","31.6351478","74.1512832641602","1.82763137956954E-10"
"39","32.03112048","76.1494674682617","1.58630424351713E-08"
"40","33.07780906","78.1574172973633","6.01786009912786E-10"
"41","33.99185414","80.1607055664063","-7.71167241175874E-10"
"42","34.90589572","82.1672821044922","7.96314403306297E-10"
"43","35.95252736","84.1705627441406","2.19113796551262E-10"
"44","36.34849784","86.1688690185547","1.57435753322943E-08"
"45","37.26256642","88.1770401000977","5.62163815498451E-10"
"46","38.17662252","90.180061340332","4.40699005066492E-10"
"47","39.09067972","92.1866607666016","3.61508045720882E-10"
"48","40.00477496","94.1931686401367","5.10725017832669E-10"
"49","40.40074354","96.1921539306641","1.37056774818234E-08"
"50","41.31482592","98.1963195800781","2.5419100158075E-10"
"51","42.22890856","100.202812194824","5.05771480252548E-10"
"52","43.14301416","102.206359863281","6.78248734953257E-10"
"53","44.05710848","104.212226867676","4.46546050136831E-10"
"54","44.45307298","106.211280822754","1.51188626063004E-08"
"55","45.499724","108.215965270996","5.41456102176596E-10"
"56","46.41379596","110.221893310547","4.09377504118069E-10"
"57","47.3278624","112.22583770752","5.64727875573823E-10"
"58","48.37453254","114.232398986816","4.2224027052562E-10"
"59","48.77052118","116.231109619141","1.57553259327869E-08"
"60","49.6846187","118.23511505127","7.30300431239783E-10"
"61","50.59869248","120.241622924805","4.70863625867679E-10"
"62","51.5127578","122.24454498291","5.82602299736834E-10"
"63","52.42681482","124.251678466797","7.66259777851275E-10"
"64","53.34085798","126.254257202148","4.99754571059441E-10"
"65","54.25493492","128.258056640625","5.64651658763182E-10"
"66","55.16898304","130.261108398438","8.0292578141794E-10"
"67","56.08305916","132.267181396484","5.4815002537012E-10"
"68","56.99716316","134.270889282227","7.04989733257833E-10"
"69","57.9112443","136.276992797852","8.3692203167729E-10"
"70","58.30720774","138.275802612305","1.39136959731445E-08"
"71","59.22127364","140.280258178711","5.72169422952129E-10"
"72","60.13537022","142.286956787109","6.70128730284603E-10"
"73","61.04946488","144.289764404297","9.40033162422083E-10"
"74","61.96351776","146.296325683594","5.62478619237083E-10"
"75","62.35948702","148.295562744141","1.45092515779766E-08"
"76","63.27358034","150.298858642578","7.3461087213289E-10"
"77","64.18765144","152.305877685547","6.13292194806547E-10"
"78","65.10174892","154.309448242188","8.64031068914528E-10"
"79","66.01578868","156.316177368164","9.93188753461993E-10"
"80","66.41176404","158.315200805664","1.38777194180761E-08"
"81","67.32586936","160.31867980957","8.17101997174774E-10"
"82","68.2399319","162.325637817383","9.7124264186732E-10"
"83","69.15401214","164.331436157227","7.24090232218089E-10"
"84","70.06811214","166.335021972656","8.21897661040794E-10"
"85","70.46407138","168.335632324219","1.34921105399144E-08"
"86","71.3781364","170.341583251953","9.07221464618857E-10"
"87","72.29220602","172.344085693359","7.12074621489478E-10"
"88","73.2062635","174.351577758789","9.88451320793615E-10"
"89","74.12029704","176.354644775391","1.00889596676978E-09"
"90","74.51625948","178.353424072266","1.3862213599225E-08"
"91","75.43028394","180.360809326172","7.85680909221043E-10"
"92","76.3443344","182.364624023438","9.73789271441206E-10"
"93","77.25834422","184.370361328125","2.55327292641994E-09"
"94","78.17240246","186.373931884766","6.86839918273563E-10"
"95","78.56835134","188.373123168945","1.3893825645539E-08"
"96","79.48243202","190.380264282227","1.00003394454262E-09"
"97","80.39648652","192.382934570313","8.76665406934762E-10"
"98","81.3105596","194.389282226563","1.47118328630569E-09"
"99","82.22465592","196.396728515625","8.37458269398184E-10"
"100","82.62062768","198.395065307617","1.42604665853696E-08"
"101","83.53474012","200.399047851563","8.48340453440954E-10"
"102","84.58137872","202.406829833984","8.82302009230784E-10"
"103","85.495457","204.408538818359","9.6839147811778E-10"
"104","86.40953734","206.41520690918","1.05889097490319E-09"
"105","86.80552394","208.414489746094","1.41135183540086E-08"
"106","87.2047574","210.437301635742","6.75964102470061E-08"
"107","87.6007393","212.441070556641","6.95988120469337E-08"
"108","87.99671754","214.518325805664","7.22914137440966E-08"
"109","88.39269422","216.52912902832","6.80123761753748E-08"
"110","88.7886861","218.529281616211","6.60428725041129E-08"
"111","89.1846386","220.485290527344","6.74534987865627E-08"
"112","89.580612","222.486404418945","6.95487685220542E-08"
"113","89.97657666","224.509780883789","7.0650699512953E-08"
"114","90.37253704","226.545013427734","6.86426702145582E-08"
"115","90.76850468","228.521209716797","6.55213696632018E-08"
"116","91.16447704","230.497116088867","6.76017108958149E-08"
"117","91.56043198","232.477966308594","6.89213806026601E-08"
"118","91.95640766","234.520599365234","7.13655623485465E-08"
"119","92.35236894","236.532363891602","6.82464147416795E-08"
"120","92.74831522","238.577255249023","6.71951525532677E-08"
"121","93.1442745","240.54704284668","6.75252991300113E-08"
"122","93.54022752","242.525146484375","6.87268268961816E-08"
"123","93.93620178","244.564590454102","7.14087846631628E-08"
"124","94.33215796","246.578079223633","6.85903174257874E-08"
"125","94.72811008","248.567459106445","6.58537757658451E-08"
"126","95.12407596","250.542007446289","6.72381048616444E-08"
"127","95.52004586","252.514923095703","6.86845993413954E-08"
"128","95.91602422","254.554168701172","7.1512687327413E-08"
"129","96.31199574","256.570159912109","6.91650257067522E-08"
"130","96.70796628","258.582336425781","6.65184245463024E-08"
"131","97.10391752","260.537139892578","6.63162111891324E-08"
"132","97.4998858","262.563262939453","7.03514189126508E-08"
"133","97.89585054","264.593688964844","7.13465837520744E-08"
"134","98.29183962","266.615539550781","6.97625850420991E-08"
"135","98.6877933","268.635131835938","6.69782167506128E-08"
"136","99.08375898","270.593872070313","6.58602417047405E-08"
"137","99.47973248","272.569976806641","6.88485286559626E-08"
"138","99.87569642","274.576446533203","7.01907509892408E-08"
"139","100.27164698","276.622406005859","7.13198176072183E-08"
"140","100.66764148","278.622741699219","6.71540760777134E-08"
"141","101.06361612","280.597259521484","6.56554490774397E-08"
"142","101.4595751","282.5732421875","6.82091467751889E-08"
"143","101.85554802","284.558898925781","6.91780002171072E-08"
"144","102.25152446","286.601104736328","7.18467916271948E-08"
"145","102.64748566","288.673858642578","7.06362470737076E-08"
"146","103.04346266","290.658142089844","6.59993020235561E-08"
"147","103.43943788","292.632659912109","6.70479849418371E-08"
"148","103.83538584","294.603454589844","6.84543337570176E-08"
"149","104.23134476","296.638458251953","7.1617499486365E-08"
"150","104.62731552","298.656066894531","6.9966823446066E-08"
"151","105.02328238","300.674041748047","6.71562290222028E-08"
"152","105.41927024","302.634948730469","6.57589751540399E-08"
"153","105.8152236","304.614166259766","6.86578829345308E-08"
"154","106.21119054","306.617614746094","7.01710902717423E-08"
"155","106.60716098","308.659881591797","7.15715913202075E-08"
"156","107.00310636","310.665374755859","6.76077860362057E-08"
"157","107.39906528","312.700927734375","6.73102462656061E-08"
"158","107.79502764","314.669067382813","6.80863578850222E-08"
"159","108.19098112","316.656494140625","6.89369841211374E-08"
"160","108.5869468","318.697418212891","7.18599721949431E-08"
"161","108.9828978","320.708221435547","6.88808015070208E-08"
"162","109.3788492","322.718688964844","6.65734276594776E-08"
"163","109.77480244","324.675445556641","6.65095356566781E-08"
