	Common Settings,	
	.源输出/扫描点数,	500
	.重复次数,	0
	.测量延迟,	0.005
	.测量窗口,	20 ms
	.NPLC,	1
	.渠道,	SMU-1
	..仪器,	My 2470
	...型号,	2470
	...序列号,	04648429
	..Source Settings,	
	...模式,	直流
	...源功能,	电压扫描
	...源类型,	线性
	...双向扫描,	禁用
	...量程,	自动
	...开始,	0
	...停止,	1000
	...步进,	2.00400801603206
	...限值,	0.01
	..Measure Settings,	
	...电压,	测量值
	...电流,	True
	...量程,	自动
	...最小量程,	1E-08
	...电阻,	False
	...功率,	False
	...自动归零,	打开
	..Instrument Settings,	
	...接线端子,	正面
	...接线方式,	2 线
	...输出关闭,	标准
	...高电容,	False

"索引","SMU-1 时间 (s)","SMU-1 电压 (V)","SMU-1 电流 (A)"
"1","0","1.11762346932665E-05","-6.45744657745695E-09"
"2","0.73985078","2.00395607948303","2.11062882726765E-07"
"3","0.84098292","4.00768232345581","4.25951498073118E-07"
"4","0.93958708","6.01193189620972","6.5561852125029E-07"
"5","1.03818582","8.01572322845459","8.90716137291747E-07"
"6","1.47011822","10.0199556350708","1.14765248326876E-06"
"7","1.55778436","12.0238580703735","1.38294410589879E-06"
"8","1.64544486","14.0277156829834","1.63091965532658E-06"
"9","1.7331258","16.0316772460938","1.88706303561048E-06"
"10","1.82079794","18.0358543395996","2.14982742363645E-06"
"11","1.90846162","20.0397644042969","2.4188150291593E-06"
"12","1.99612584","22.1695289611816","2.70107966571231E-06"
"13","2.08381644","24.050968170166","2.97418296213436E-06"
"14","2.17148056","26.0500869750977","3.25921359944914E-06"
"15","2.25914456","28.0538673400879","3.54991470885579E-06"
"16","2.3468126","30.0604934692383","3.84639906769735E-06"
"17","2.434461","32.0630912780762","4.14743044530042E-06"
"18","2.52213472","34.070011138916","4.45322484665667E-06"
"19","2.60979962","36.0699615478516","4.7631638153689E-06"
"20","2.6974715","38.0727119445801","5.07817321704351E-06"
"21","2.78512906","40.0798645019531","5.39899792784126E-06"
"22","2.87278898","42.0824584960938","5.72436465517967E-06"
"23","2.96045302","44.089054107666","6.05414561505313E-06"
"24","3.04812528","46.088996887207","6.38835626887158E-06"
"25","3.13578506","48.0919036865234","6.72707528792671E-06"
"26","3.2234579","50.0985412597656","7.06987475496135E-06"
"27","3.31111528","52.1015396118164","7.41783060220769E-06"
"28","3.39876034","54.1083374023438","7.76941305957735E-06"
"29","3.48642284","56.1082000732422","8.12363850855036E-06"
"30","3.5740733","58.1145782470703","8.48350282467436E-06"
"31","3.66171654","60.1172523498535","8.84654036781285E-06"
"32","3.74938384","62.1244316101074","9.21356422622921E-06"
"33","3.83705668","64.1273803710938","9.58394684857922E-06"
"34","3.92470208","66.1265487670898","9.95599475572817E-06"
"35","4.01236768","68.133415222168","1.03327138276654E-05"
"36","4.42938954","70.1392593383789","1.08193416963331E-05"
"37","4.51705904","72.1456298828125","1.11710696728551E-05"
"38","4.60473618","74.1493225097656","1.15347038445179E-05"
"39","4.69240226","76.1487121582031","1.19044234452303E-05"
"40","4.780074","78.1557388305664","1.22768569781329E-05"
"41","4.86775878","80.1586608886719","1.26528038890683E-05"
"42","4.95544764","82.1650314331055","1.30315520436852E-05"
"43","5.04310782","84.1687164306641","1.34078400151338E-05"
"44","5.13078492","86.1682739257813","1.37868883030023E-05"
"45","5.21846292","88.1750411987305","1.41684940899722E-05"
"46","5.30611914","90.1781692504883","1.4547636055795E-05"
"47","5.39377872","92.184684753418","1.49270972542581E-05"
"48","5.48145676","94.1911163330078","1.5313667972805E-05"
"49","5.56912546","96.1913681030273","1.57009180838941E-05"
"50","5.65678236","98.1944351196289","1.60846029757522E-05"
"51","5.7444546","100.200912475586","1.64698340086034E-05"
"52","5.83212472","102.204559326172","1.68564947671257E-05"
"53","5.91979728","104.210464477539","1.72406707861228E-05"
"54","6.00746124","106.210601806641","1.76218054548372E-05"
"55","6.0951226","108.213989257813","1.80041133717168E-05"
"56","6.1827983","110.21996307373","1.83904521691147E-05"
"57","6.27047774","112.223678588867","1.87689929589396E-05"
"58","6.3581383","114.230155944824","1.91492599697085E-05"
"59","6.44579408","116.230140686035","1.9534059902071E-05"
"60","6.53347568","118.233024597168","1.99189980776282E-05"
"61","6.6211354","120.239608764648","2.03114850592101E-05"
"62","6.70880002","122.242553710938","2.06864951906027E-05"
